BGG-id,Title,Weight,Owner
192458,51st State: Master Set,2.89,GEST (Lucas)
68448,7 Wonders,2.31,GEST (André)
173346,7 Wonders Duel,2.23,JogoNaMesa (Vasco)
346703,7 Wonders: Arquitetos,1.37,GEST (Ana)
135779,A Fake Artist Goes to New York,1.1,JogoNaMesa (Vasco)
177736,A Feast for Odin,3.86,JogoNaMesa (Vasco)
5,Acquire,2.49,GEST (Lucas)
383179,Age of Innovation,4.26,JogoNaMesa (Vasco)
200680,Agricola (Revised Edition),3.45,JogoNaMesa (Vasco)
20031,Ahoy,2.89,GEST (Ana)
6249,Alhambra,2.1,GEST (Ana)
298635,Alice's Garden,1.43,JogoNaMesa (Vasco)
311193,Anno 1800: The Board Game,3.12,JogoNaMesa (Vasco)
371077,Arborea,3.69,GEST (Lucas)
140934,Arboretum,2.11,GEST (Ana)
236457,Architects of the West Kingdom,2.76,JogoNaMesa (Vasco)
359871,Arcs,3.42,GEST
342942,Ark Nova,3.79,GEST (Lucas)
230802,Azul,1.77,GEST
256226,Azul: Stained Glass of Sintra,2.01,JogoNaMesa (Vasco)
287954,Azul: Summer Pavilion,2.07,JogoNaMesa (Vasco)
351538,Bamboo,2.91,GEST (Ana)
143741,BANG! The Dice Game,1.28,JogoNaMesa (Vasco)
219513,Bärenpark,1.66,JogoNaMesa (Vasco)
251247,Barrage,4.11,GEST (Worm)
760,Battle Line,1.89,GEST (Ana)
323612,Bitoku,3.76,JogoNaMesa (Vasco)
230244,Black Angel,3.87,JogoNaMesa (Vasco)
170216,Blood Rage,2.88,JogoNaMesa (Vasco)
244331,Blue Lagoon,2.02,GEST (Ana)
140933,Blueprints,1.69,JogoNaMesa (Vasco)
413246,Bomb Busters,1.94,GEST (Ana)
366994,Bonsai,1.81,JogoNaMesa (Vasco)
383579,BOOoop.,1.47,GEST
417696,boop the Halls!,1.83,GEST (Ana)
398,Botswana,1.29,JogoNaMesa (Vasco)
224517,Brass: Birmingham,3.87,GEST
28720,Brass: Lancashire,3.85,JogoNaMesa (Vasco)
249277,Brazil: Imperial,2.99,JogoNaMesa (Vasco)
337765,Brian Boru: High King of Ireland,2.56,JogoNaMesa (Vasco)
171499,Cacao,1.82,JogoNaMesa (Vasco)
338957,Caesar!: Seize Rome in 20 Minutes!,1.95,JogoNaMesa (Vasco)
284936,Café,2.07,GEST
283155,Calico,2.2,JogoNaMesa (Vasco)
260605,Camel Up (Second Edition),1.51,JogoNaMesa (Vasco)
41,Can't Stop,1.14,JogoNaMesa (Vasco)
6221,Caper,2.21,GEST (Ana)
328565,Caper: Europe,2.1,JogoNaMesa (Vasco)
171131,Captain Sonar,2.19,JogoNaMesa (Vasco)
822,Carcassonne,1.89,GEST
310873,Carnegie,3.81,JogoNaMesa (Vasco)
245934,Carpe Diem,2.53,JogoNaMesa (Vasco)
263918,Cartographers,1.89,JogoNaMesa (Vasco)
295947,Cascadia,1.85,GEST
345972,Cat in the Box,2.04,GEST
228504,Cat Lady,1.37,GEST
13,Catan,2.29,GEST
374200,Celtae,2.72,GEST (Cândido)
270970,Century: A New World,2.12,JogoNaMesa (Vasco)
209685,Century: Spice Road,1.8,JogoNaMesa (Vasco)
205398,Citadels,2.05,GEST (Ana)
38657,Cities,1.66,JogoNaMesa (Vasco)
169318,City of Spies: Estoril 1942,2.49,GEST (Simão)
201808,Clank!: A Deck-Building Adventure,2.23,GEST (Ana)
216132,Clans of Caledonia,3.47,JogoNaMesa (Vasco)
274841,Cóatl,2.04,JogoNaMesa (Vasco)
11971,Cockroach Poker,1.1,JogoNaMesa (Vasco)
145639,Coconuts,1.04,JogoNaMesa (Vasco)
178900,Codenames,1.26,GEST (Ana)
224037,Codenames: Duet,1.36,GEST (Ana)
198773,Codenames: Pictures,1.24,GEST (Ana)
5782,Coloretto,1.27,GEST (Ana)
124361,Concordia,2.99,JogoNaMesa (Vasco)
39463,Cosmic Encounter,2.58,JogoNaMesa (Vasco)
131357,Coup,1.41,GEST
429863,Covenant,3.69,JogoNaMesa (Vasco)
256570,Crown of Emara,3.05,JogoNaMesa (Vasco)
246784,Cryptid,2.26,GEST (Cândido)
245476,CuBirds,1.32,GEST (Ana)
298069,Cubitos,2.17,GEST
322289,Darwin's Journey,3.9,JogoNaMesa (Vasco)
225694,Decrypto,1.83,GEST
169654,Deep Sea Adventure,1.18,JogoNaMesa (Vasco)
15512,Diamant,1.12,GEST (Ana)
216497,District Noir,1.31,JogoNaMesa (Vasco)
39856,Dixit,1.19,JogoNaMesa (Vasco)
121288,Dixit: Journey,1.26,JogoNaMesa (Vasco)
209418,Dominion,2.17,GEST
215311,Downforce,1.73,JogoNaMesa (Vasco)
194880,Dream Home,1.65,GEST (Ana)
312463,Duck,1.2,GEST (Ana)
283355,Dune,3.98,JogoNaMesa (Vasco)
397598,Dune: Imperium – Uprising,3.52,GEST
350184,Earth,2.9,GEST (Lucas)
131366,Eight-Minute Empire,1.63,JogoNaMesa (Vasco)
93,El Grande,2.94,JogoNaMesa (Vasco)
206718,Ethnos,2.11,JogoNaMesa (Vasco)
199792,Everdell,2.83,JogoNaMesa (Vasco)
363307,Evergreen,2.14,JogoNaMesa (Vasco)
339753,Évora,2.43,JogoNaMesa (Vasco)
172225,Exploding Kittens,1.08,GEST (Ana)
385761,Faraway,1.91,JogoNaMesa (Vasco)
38548,Fast Flowing Forest Fellers,1.52,GEST (Ana)
231666,Fast Forward: FLEE,2.35,GEST (Ana)
271601,Feed the Kraken,2.16,GEST
419195,Fishing,1.87,GEST (Ana)
147768,Five Cucumbers,1.3,GEST (Ana)
157354,Five Tribes: The Djinns of Naqala,2.84,JogoNaMesa (Vasco)
336986,Flamecraft,2.19,JogoNaMesa (Vasco)
199478,Flamme Rouge,1.7,JogoNaMesa (Vasco)
256802,Fool!,1.09,GEST (Ana)
172,For Sale,1.25,GEST (Ana)
391163,Forest Shuffle,2.2,JogoNaMesa (Vasco)
296912,Fort,2.45,GEST (Ana)
390094,FTW?!,1.22,GEST (Ana)
203430,Fuji Flush,1.1,JogoNaMesa (Vasco)
318084,Furnace,2.32,JogoNaMesa (Vasco)
258389,Futuropia,2.36,GEST (Ana)
220308,Gaia Project,4.4,JogoNaMesa (Vasco)
393333,Galileo Galilei,3.05,JogoNaMesa (Vasco)
30539,Get Bit!,1.12,JogoNaMesa (Vasco)
83195,Ghost Blitz,1.13,GEST (Ana)
182874,Ghost Blitz,1.13,JogoNaMesa (Vasco)
193738,Grand Austria Hotel,3.2,JogoNaMesa (Vasco)
269144,Great Western Trail,3.69,JogoNaMesa (Vasco)
300322,Hadara,2.21,JogoNaMesa (Vasco)
321756,Hallertau,3.29,JogoNaMesa (Vasco)
98778,Hammer Time,1,GEST (Ana)
158600,Hanabi,1.69,JogoNaMesa (Vasco)
5014,Hanamikoji,1.68,GEST
194626,Hands Up,1.08,JogoNaMesa (Vasco)
414317,Happy Salmon,1.06,GEST (Ana)
366013,Harmonies,2.01,JogoNaMesa (Vasco)
321608,Heat: Pedal to the Metal,2.2,GEST
8203,Hegemony: Lead Your Class to Victory,4.24,JogoNaMesa (Vasco)
220,"Hey, That's My Fish!",1.45,GEST (Ana)
2655,High Society,1.48,GEST (Ana)
120,Hive,2.31,JogoNaMesa (Vasco)
371972,Hoity Toity,1.86,JogoNaMesa (Vasco)
244995,Ierusalem: Anno Domini,3.11,JogoNaMesa (Vasco)
191862,Illusion,1.04,GEST (Ana)
338760,Imhotep,2.01,JogoNaMesa (Vasco)
155821,Imperial Steam,4.21,JogoNaMesa (Vasco)
271088,Inis,2.94,JogoNaMesa (Vasco)
148949,Ishtar: Gardens of Babylon,2.27,JogoNaMesa (Vasco)
271324,Istanbul,2.58,GEST (Ana)
54043,It's a Wonderful World,2.33,JogoNaMesa (Vasco)
8098,Jaipur,1.46,GEST
254640,Jungle Speed,1.13,JogoNaMesa (Vasco)
122515,Just One,1.04,GEST (Ana)
70323,Keyflower,3.33,JogoNaMesa (Vasco)
293141,King of Tokyo,1.49,JogoNaMesa (Vasco)
204583,King of Tokyo: Dark Edition,1.62,JogoNaMesa (Vasco)
340041,Kingdomino,1.24,GEST
287938,Kingdomino Origins,1.91,GEST (Ana)
348096,Kitchen Rush (Revised Edition),2.13,JogoNaMesa (Vasco)
165722,Kites,1.06,JogoNaMesa (Vasco)
348450,KLASK,1.05,JogoNaMesa (Vasco)
117959,Lacrimosa,3.17,GEST (Simão)
35677,Las Vegas,1.17,JogoNaMesa (Vasco)
368173,Le Havre,3.71,JogoNaMesa (Vasco)
275467,Let's Go! To Japan,2.24,JogoNaMesa (Vasco)
356033,Letter Jam,1.95,GEST
161533,Libertalia: Winds of Galecrest,2.19,GEST (Lucas)
306173,Lisboa,4.57,JogoNaMesa (Vasco)
10251,Lisbon Tram 28,2.11,JogoNaMesa (Vasco)
328479,Living Forest,2.21,JogoNaMesa (Vasco)
295374,Long Shot: The Dice Game,1.94,GEST
770,Loot,1.38,JogoNaMesa (Vasco)
50,Lost Cities,1.47,GEST (Simão)
312484,Lost Ruins of Arnak,2.93,JogoNaMesa (Vasco)
380915,Lunaris 45,2,GEST (Cândido)
143884,Machi Koro,1.52,GEST (Ana)
176558,Mafia de Cuba,1.47,GEST
2093,Mahjong,2.58,GEST (Simão)
317504,Mandala Stones,1.83,JogoNaMesa (Vasco)
276025,Maracaibo,3.91,JogoNaMesa (Vasco)
29223,Marrakech,1.33,GEST (Ana)
314491,Meadow,2.25,JogoNaMesa (Vasco)
346501,Mille Fiori,2.17,JogoNaMesa (Vasco)
2922,Mistakos,1.03,GEST (Ana)
366251,Mistwind,3.12,JogoNaMesa (Vasco)
118,Modern Art,2.28,JogoNaMesa (Vasco)
122298,Morels,1.74,GEST (Ana)
63975,Mountain Goats,1.21,GEST (Ana)
301767,Mysterium Park,1.44,JogoNaMesa (Vasco)
195421,Near and Far,2.89,JogoNaMesa (Vasco)
300877,New York Zoo,1.96,JogoNaMesa (Vasco)
293014,Nidavellir,2.12,JogoNaMesa (Vasco)
217449,NMBR 9,1.23,GEST
396790,Nucleum,4.19,GEST (Worm)
4396,Odin's Ravens,1.68,GEST (Cândido)
270314,Ohanami,1.15,GEST (André)
125311,Okiya,1.22,GEST (Navas)
184267,On Mars,4.63,JogoNaMesa (Vasco)
160477,Onitama,1.66,JogoNaMesa (Vasco)
164928,Orléans,3.02,JogoNaMesa (Vasco)
266810,Paladins of the West Kingdom,3.71,JogoNaMesa (Vasco)
300531,Paleo,2.65,JogoNaMesa (Vasco)
276498,Paris: La Cité de la Lumière,2.01,JogoNaMesa (Vasco)
266524,PARKS,2.12,GEST (Ana)
163412,Patchwork,1.6,JogoNaMesa (Vasco)
256960,Pax Pamir: Second Edition,3.85,JogoNaMesa (Vasco)
309728,Pessoa,2.7,JogoNaMesa (Vasco)
330592,Phantom Ink,1.17,JogoNaMesa (Vasco)
218603,Photosynthesis,2.26,GEST
256730,Pipeline,3.9,GEST
368017,Point City,1.67,JogoNaMesa (Vasco)
274960,Point Salad,1.15,GEST (Ana)
180974,Potion Explosion,1.78,JogoNaMesa (Vasco)
3076,Puerto Rico,3.27,JogoNaMesa (Vasco)
244521,Quacks of Quedlinburg,1.94,JogoNaMesa (Vasco)
624,Quoridor,1.82,GEST (Ana)
12,Ra,2.31,JogoNaMesa (Vasco)
170042,Raiders of the North Sea,2.57,JogoNaMesa (Vasco)
245654,Railroad Ink: Deep Blue Edition,1.46,GEST (André)
220877,Rajas of the Ganges,2.9,JogoNaMesa (Vasco)
417197,Rebirth,1.95,JogoNaMesa (Vasco)
161417,Red7,1.7,JogoNaMesa (Vasco)
244228,Reef,1.82,GEST (Ana)
307002,Regicide,1.97,JogoNaMesa (Vasco)
332772,Revive,3.46,JogoNaMesa (Vasco)
137297,Rise of Augustus,1.64,GEST (Ana)
402679,Rock Hard: 1977,2.49,JogoNaMesa (Vasco)
237182,Root,3.84,JogoNaMesa (Vasco)
9220,Saboteur,1.32,GEST (Ana)
199561,Sagrada,1.92,JogoNaMesa (Vasco)
194655,Santorini,1.72,GEST (Ana)
291453,Scout,1.38,GEST
169786,Scythe,3.45,JogoNaMesa (Vasco)
367220,Sea Salt & Paper,1.48,JogoNaMesa (Vasco)
188834,Secret Hitler,1.74,GEST
1198,SET,1.65,GEST (Navas)
418059,SETI: Search for Extraterrestrial Intelligence,3.81,JogoNaMesa (Vasco)
157969,Sheriff of Nottingham,1.66,JogoNaMesa (Vasco)
255037,Silk,2.39,JogoNaMesa (Vasco)
92415,Skull,1.12,JogoNaMesa (Vasco)
373106,Sky Team,2.04,JogoNaMesa (Vasco)
40692,Small World,2.35,GEST
364073,Splendor Duel,2.01,JogoNaMesa (Vasco)
63268,Spot It,1.04,JogoNaMesa (Vasco)
34635,Stone Age,2.46,GEST (Ana)
323156,Stroganov,3.31,JogoNaMesa (Vasco)
2653,Survive: Escape from Atlantis!,1.69,JogoNaMesa (Vasco)
192291,Sushi Go Party!,1.32,GEST (Ana)
133473,Sushi Go!,1.16,GEST
432,Take 5,1.19,JogoNaMesa (Vasco)
70919,Takenoko,1.97,GEST (Ana)
286096,Tapestry,2.97,JogoNaMesa (Vasco)
275870,TEAM3 GREEN,1.27,JogoNaMesa (Vasco)
297030,Tekhenu: Obelisk of the Sun,4.07,JogoNaMesa (Vasco)
46213,Telestrations,1.07,JogoNaMesa (Vasco)
229853,Teotihuacan: City of Gods,3.78,JogoNaMesa (Vasco)
120677,Terra Mystica,3.97,JogoNaMesa (Vasco)
167791,Terraforming Mars,3.27,GEST (Lucas)
375651,That's not a Hat,1.06,GEST
244522,That's Pretty Clever!,1.86,GEST
84876,The Castles of Burgundy,2.97,GEST (Ana)
324856,The Crew: Mission Deep Sea,2.05,GEST
173090,The Game,1.24,GEST (Ana)
319966,The King Is Dead: Second Edition,2.17,JogoNaMesa (Vasco)
421006,The Lord of the Rings: Duel for Middle-earth,2.06,JogoNaMesa (Vasco)
244992,The Mind,1.07,GEST (Navas)
227224,The Red Cathedral,2.82,JogoNaMesa (Vasco)
279537,The Search for Planet X,2.43,JogoNaMesa (Vasco)
171623,The Voyages of Marco Polo,3.18,JogoNaMesa (Vasco)
371942,The White Castle,3.05,GEST (Navas)
182028,Through the Ages: A New Story of Civilization,4.44,GEST (Lucas)
342070,Thunder Road: Vendetta,1.97,JogoNaMesa (Vasco)
9209,Ticket to Ride,1.82,GEST
176229,Tides of Time,1.55,GEST (Ana)
351913,Tiletum,3.39,JogoNaMesa (Vasco)
1353,Timeline: Music & Cinema,1.09,JogoNaMesa (Vasco)
145189,Time's Up!,1.2,GEST (Ana)
102631,Tinco,1.23,GEST (Cândido)
338628,Trails,1.87,GEST (Ana)
216439,Trash Pandas,1.43,GEST (Ana)
182189,Treasure Hunter,1.89,GEST (Ana)
378200,Triqueta,1.34,JogoNaMesa (Vasco)
73439,Troyes,3.38,JogoNaMesa (Vasco)
16992,Tsuro,1.22,GEST
356123,Turing Machine,2.51,GEST
257614,Tussie Mussie,1.15,JogoNaMesa (Vasco)
436507,Under the Mango Tree,1.4,GEST (Ana)
376740,Undergrove,2.9,GEST (Cândido)
247763,Underwater Cities,3.58,JogoNaMesa (Vasco)
234190,Unstable Unicorns,1.49,GEST (Ana)
351810,Viking See-Saw,1.04,GEST (Ana)
224783,Vindication,3.09,JogoNaMesa (Vasco)
296151,Viscounts of the West Kingdom,3.45,JogoNaMesa (Vasco)
183394,Viticulture Essential Edition,2.9,JogoNaMesa (Vasco)
7806,Vive le Roi!,1.21,GEST (Ana)
355483,Wandering Towers,1.58,GEST (Ana)
115746,War of the Ring: Second Edition,4.22,JogoNaMesa (Vasco)
274364,Watergate,2.28,GEST (André)
262543,Wavelength,1.12,GEST
237179,Weather Machine,4.55,JogoNaMesa (Vasco)
233867,Welcome To...,1.84,GEST (Ana)
403441,Windmill Valley,3.05,JogoNaMesa (Vasco)
266192,Wingspan,2.48,JogoNaMesa (Vasco)
400366,Wondrous Creatures,3.02,JogoNaMesa (Vasco)
256952,Zombie Kidz Evolution,1.37,GEST (Ana)
